Address,Price,Beds,Baths,Sizes
"6474 Old Axson Rd, Douglas, GA 31535","$115,000",3,1.5,"1,384sqft"
"5956 Highway 32 E, Hortense, GA 31543","$72,900",3,1,"1,132sqft"
"310 W 4th St, Donalsonville, GA 39845","$120,000",3,2,"2,300sqft"
"146 Woodstone Cir, Leesburg, GA 31701","$155,000",3,2,"1,364sqft"
"471 Johnson Ct Unit G, Kathleen, GA 31047","$110,000",3,1,960sqft
"77 Mancey Garrason Loop NE, Ludowici, GA 31316","$176,000",3,2,"1,390sqft"
"4536 Nan Leah Ln, Columbus, GA 31909","$192,500",3,2,"1,558sqft"
"5629 Encino Ln, Valdosta, GA 31601","$169,900",3,2,"1,595sqft"
"17 Dogwood St, Hinesville, GA 31313","$139,900",3,2,"1,344sqft"
"1607 Meadow Pl, Valdosta, GA 31602","$145,900",4,2,"1,512sqft"
"2540 Weber Heights Way, Buford, GA 30519","$850,000",5,3.5,"4,340sqft"
"295 Hill Crest Cir, Woodstock, GA 30188","$324,900",3,2,"1,600sqft"
"39 Turkey Trot Dr, Rocky Face, GA 30740","$550,000",4,3,"3,071sqft"
"2005 Rhinehart Rd, Austell, GA 30106","$285,000",4,3,"2,049sqft"
"2017 Town Manor Ct, Dacula, GA 30019","$815,000",5,4.5,"5,933sqft"
"28 Mountain View Dr, Rockmart, GA 30153","$265,000",3,2,"1,810sqft"
"129 Moss Creek Dr, Martinez, GA 30907","$239,900",3,2.5,"1,944sqft"
"2570 Serenity St, Monroe, GA 30655","$399,900",4,3,"2,828sqft"
"305 Casey Dr, Pooler, GA 31322","$289,900",3,2.5,"1,912sqft"
"21 Ember Way, Cartersville, GA 30120","$199,900",3,2,"1,448sqft"
"4519 Coldwater St, Grovetown, GA 30813","$419,900",5,3,"3,306sqft"
"660 Country Ridge Dr, Hoschton, GA 30548","$384,000",4,2.5,"2,600sqft"
"1189 Mulberry Chase, Commerce, GA 30530","$662,000",4,3.5,"3,050sqft"
"2850 3rd Ave SW, Atlanta, GA 30315","$150,000",2,1,806sqft
"121 Silverside Dr, Perry, GA 31069","$351,900",4,2.5,"2,300sqft"
"2005 Coleman Place Dr, Roswell, GA 30075","$1,166,920",5,4.5,"4,300sqft"
"3239 Ramsgate Rd, Augusta, GA 30909","$339,900",4,2,"2,120sqft"
"7516 Jennadee Dr, Fairburn, GA 30213","$359,990",4,2.5,"2,340sqft"
"3335 Ferncliff Pl NE, Atlanta, GA 30324","$1,049,000",4,4.5,"2,650sqft"
"6713 Thornwood Ct, Flowery Branch, GA 30542","$445,000",4,3.5,"2,443sqft"
"7461 Hawk Tail Way, Fairburn, GA 30213","$364,490",5,3,"2,382sqft"
"119 Silverside Dr, Perry, GA 31069","$324,900",3,2,"2,095sqft"
"4130 Oakhurst Dr, Fairburn, GA 30213","$429,990",5,4.5,No display data
"1010 Beebalm Dr, Statham, GA 30666","$624,900",4,4.5,No display data
"996 Westmoreland Ln, Lawrenceville, GA 30043","$389,900",4,2,"2,062sqft"
"1040 Burr Harris Rd, Watkinsville, GA 30677","$369,900",3,2.5,"2,738sqft"
"1336 Hickory Dr SW, Lilburn, GA 30047","$379,900",3,2,"1,708sqft"
"5020 Laurel Springs Way SE, Smyrna, GA 30082","$264,899",2,2,"1,232sqft"
"2588 Bates St SE, Smyrna, GA 30080","$489,900",4,3,"2,369sqft"
"3882 Conley Downs Dr, Decatur, GA 30034","$215,000",5,1.5+,"1,692sqft"
"1080 Peachtree St NE Unit 1213, Atlanta, GA 30309","$374,900",1,1,789sqft
"118 Silverside Dr, Perry, GA 31069","$345,900",4,3,"2,245sqft"
"127 Long Bridge Rd, Springfield, GA 31329","$499,900",4,2.5,"1,862sqft"
"8 Creekwood Dr, Dublin, GA 31021","$475,000",5,4.5,"3,762sqft"
"316 Stone Mill Dr, Brunswick, GA 31520","$175,000",2,2,"1,390sqft"
"6590 Evans Dr, Cumming, GA 30041","$140,000",4,2,"1,560sqft"
"381 Belmont Cir, Brunswick, GA 31525","$439,000",4,3.5,"2,407sqft"
"91 Live Oak Trl, Lakeland, GA 31635","$190,000",4,2,"1,610sqft"
"501 N Harding St, Albany, GA 31701","$79,900",5,2,"2,343sqft"
"111 Glacier Trl, Warner Robins, GA 31088","$246,000",5,3.5,"2,775sqft"
