Address,Price,Beds,Baths,Sizes
"17205 White Rd, Bailey, MI 49303","$95,000",4,1,"1,296sqft"
"2675 Harding St, Detroit, MI 48214","$55,000",6,2.5,"3,040sqft"
"5315 Starr Ave, Lansing, MI 48911","$70,000",1,1,691sqft
"1313 6th St, Muskegon, MI 49441","$49,900",4,2,"2,204sqft"
"554 Oak Meadow Dr, Middleville, MI 49333","$280,000",3,2.5,"2,040sqft"
"5211 N Blaisdell Rd, Merritt, MI 49667","$99,900",3,1,900sqft
"8376 Westwood St, Ida, MI 48140","$224,500",3,1,"1,236sqft"
"826 Maple St, Mount Morris, MI 48458","$77,000",3,2,"1,282sqft"
"2806 Bilbrael Dr, Mount Pleasant, MI 48858","$345,000",4,3.5,"2,708sqft"
"655 Georgia Ave, Marysville, MI 48040","$169,000",3,1,"1,000sqft"
"1980 E Newberg Rd, Pinconning, MI 48650","$306,000",3,2,"2,015sqft"
"6233 Brooklyn Rd, Jackson, MI 49201","$169,900",3,1,"1,399sqft"
"1651 Columbus Ave, Muskegon, MI 49441","$199,900",3,2.5,"1,418sqft"
"11517 Penrose Dr, Warren, MI 48093","$219,900",3,1.5,"1,225sqft"
"519 Chestnut St, Flushing, MI 48433","$195,000",4,2.5,"1,694sqft"
"4460 Sunderland Pl, Flint, MI 48507","$169,900",4,1.5,"1,678sqft"
"1651 Langeland Ave, Muskegon, MI 49442","$149,900",3,2,"2,078sqft"
"3862 Oak Knoll Rd, Waterford, MI 48328","$210,000",3,2,"1,950sqft"
"28215 E Greenmeadow Cir, Farmington Hills, MI 48334","$290,000",4,1.5,"1,766sqft"
"3701 County Farm Rd, Saint Johns, MI 48879","$372,000",2,3,"2,807sqft"
"10525 Columbia Hwy, Eaton Rapids, MI 48827","$425,000",3,2,"2,567sqft"
"31817 Bay Ct, Westland, MI 48186","$149,900",5,2,"1,730sqft"
"1018 S Kinney Ave, Mount Pleasant, MI 48858","$87,900",1,1,540sqft
"1947 Summit St, Holt, MI 48842","$176,900",3,2,"2,260sqft"
"1838 Shoreline Dr, Hartland, MI 48353","$325,000",3,2.5,"3,006sqft"
"28 Meadow Hills Ln Unit 12, Fremont, MI 49412","$119,000",2,1,"1,016sqft"
"4083 Oak Flats Rd, Harrison, MI 48625","$65,000",3,1,"1,380sqft"
"1538 Glynn Ct, Detroit, MI 48206","$119,000",6,2,"2,412sqft"
"22070 Roxford St, Detroit, MI 48219","$54,400",3,2.5,"1,576sqft"
"4419 10 Mile Rd, Evart, MI 49631","$184,900",3,1,"1,500sqft"
"3698 Lake Forest Dr, Sterling Heights, MI 48314","$729,900",4,3.5,"3,690sqft"
"6244 Ternes St, Dearborn, MI 48126","$189,900",3,2,"1,304sqft"
"1908 Anne Ave, Lincoln Park, MI 48146","$148,000",3,1.5,"1,373sqft"
"4601 Venoy Rd, Wayne, MI 48184","$159,900",3,1,"1,152sqft"
"3800 Taylor St, Norton Shores, MI 49444","$205,000",4,1,"2,336sqft"
"4200 Main St Unit 44, Bay Harbor, MI 49770","$389,000",2,2,"1,330sqft"
"24845 Lambrecht Ave, Eastpointe, MI 48021","$169,900",2,2,"1,000sqft"
"428 Normandy Rd, Royal Oak, MI 48073","$279,000",3,2,959sqft
