Address,Price,Beds,Baths,Sizes
"186-54 Avon Rd, Jamaica, NY 11432","$5,500",4,2.5,No display data
"132-07 83rd St, Ozone Park, NY 11416","$735,000",3,3,No display data
"1615 Avenue I Apt 319, New York City, NY 11230","$270,000",1,1,No display data
"140-50 Burden Cres Unit 6E, Briarwood, NY 11435","$225,000",1,1,No display data
"120-12 85 Ave Unit 5C, Kew Gardens, NY 11415","$249,999",1,1,No display data
"135-40 234 St, Rosedale, NY 11422","$645,000",4,2.5,No display data
"139-19 87th Rd, Jamaica, NY 11435","$799,999",4,3,No display data
"255 W 148th St Apt 2B, New York, NY 10039","$435,000",1,1,No display data
"17 Cunard Ave, Staten Island, NY 10304","$680,000",3,1.5,"2,500sqft"
"1382 E 48th St, Brooklyn, NY 11234","$789,000",3,2.5,"1,600sqft"
"65-38 Booth St Unit 2D, Rego Park, NY 11374","$429,000",2,1,No display data
"191 Mother Gaston Blvd, Brooklyn, NY 11233","$799,000",5,3,No display data
"147-35 38 Ave Unit B64, Flushing, NY 11354","$339,000",1,1,No display data
"8419 51st Ave Unit 6, Elmhurst, NY 11373","$399,000",2,1,"1,100sqft"
"3304 93rd St Unit 6E, Jackson Heights, NY 11372","$249,000",1,1,No display data
"64-12 48th Ave, Maspeth, NY 11378","$999,999",3,3,"1,680sqft"
"175-06 Devonshire Rd Unit 3N, Jamaica, NY 11432","$270,000",2,1,No display data
"4204 Foster Ave Unit Townhouse, Brooklyn, NY 11203","$799,000",5,2.5,"2,520sqft"
"415 E 80th St Apt 1E, New York, NY 10075","$399,000",1,1,No display data
"172-22 83 Ave, Jamaica, NY 11432","$1,975,000",7,5.5,No display data
"30 Bloomingdale Rd, Staten Island, NY 10309","$1,699,000",6,3.5,"3,564sqft"
"61 E 77th St Apt 8F, New York, NY 10075","$500,000",1,1,No display data
"6762 223rd Pl Unit B, Bayside, NY 11364","$328,000",2,1,No display data
"404 W 246th St, Bronx, NY 10471","$3,000,000",6,5.5+,No display data
"1654 Grand Ave, Bronx, NY 10453","$999,900",11,3,"4,032sqft"
"246 Cleveland St, Brooklyn, NY 11208","$1,199,000",8,6,"1,728sqft"
"1652 Grand Ave, Bronx, NY 10453","$999,900",11,3,"4,032sqft"
"3103 Fairfield Ave Apt 7E, Bronx, NY 10463","$299,000",2,1,900sqft
"1442 Kennellworth Pl, Bronx, NY 10465","$599,000",2,1.5,"1,200sqft"
"100-26 67 Rd Unit 5E, Forest Hills, NY 11375","$318,000",1,1,850sqft
"172 E 4th St Apt 8G, New York, NY 10009","$799,000",1,1,No display data
"3450 Mickle Ave, Bronx, NY 10469","$799,000",5,2,"2,112sqft"
"700 Riverside Dr Apt 2C, New York, NY 10031","$625,000",2,1,"1,000sqft"
"333 E 91st St Apt 7C, New York, NY 10128","$1,695,000",3,2,"1,441sqft"
"1 Wall Street Ct Apt 305, New York, NY 10005","$1,995,000",3,2,"1,494sqft"
"185 Hall St Apt 1014, New York, NY 11205","$530,000",1,1,650sqft
"1216 66th St, Brooklyn, NY 11219","$1,600,000",6,3,"3,456sqft"
"71-11 Yellowstone Blvd Unit 7K, Forest Hills, NY 11375","$289,000",1,1,No display data
"543 W 122nd St Apt 14C, New York, NY 10027","$1,950,000",2,2,"1,243sqft"
"8616 21st Ave Apt 5H, Brooklyn, NY 11214","$629,000",2,1,665sqft
"187-12 Ridgedale St, Springfield Gardens, NY 11413","$405,000",4,2.5,No display data
"83-55 Lefferts Blvd Unit 3E, Kew Gardens, NY 11415","$165,000",1,1,No display data
"260-36 73rd Ave Unit B1, Glen Oaks, NY 11004","$320,000",2,1,No display data
"2400 Davidson Ave Apt A25, Bronx, NY 10468","$134,000",2,1,900sqft
"2 River Ter Apt RH8, New York, NY 10282","$18,000,000",4,4.5,"4,100sqft"
"3281 Hull Ave Apt 14, Bronx, NY 10467","$120,000",1,1,750sqft
"142-20 84DR Unit 4M, Briarwood, NY 11435","$288,000",2,1,No display data
"3750 Hudson Manor Ter Apt 3EE, New York City, NY 10463","$229,000",1,1,No display data
"147-10 84 Rd Unit 4K, Briarwood, NY 11435","$190,000",1,1,No display data
"83-40 Austin St Unit 6B, Kew Gardens, NY 11415","$275,000",1,1,No display data
"76-18 Springfield Blvd Unit 2ND, Bayside, NY 11364","$369,000",2,1,No display data
"110-18 Liverpool St, Jamaica, NY 11435","$699,000",3,2.5,No display data
"98-22 63 Dr Unit 7D, Rego Park, NY 11374","$285,000",1,1,No display data
"5 E 131st St Apt 3A, New York, NY 10037","$250,000",2,1,600sqft
"310 Lexington Ave Apt 8D, New York City, NY 10016","$725,000",1,1,No display data
"150-15 72nd Rd Unit 4G, Kew Gardens Hills, NY 11367","$450,000",2,1,No display data
"141-05 Northern Blvd Unit 4J, Flushing, NY 11354","$329,000",1,1,No display data
"142-11 Sutter Ave, Jamaica, NY 11436","$599,999",3,2.5,No display data
"1600 Metropolitan Ave Apt 3D, Bronx, NY 10462","$185,000",1,1,600sqft
"98-34 63rd Dr Unit 6H, Rego Park, NY 11374","$429,000",2,1,"1,000sqft"
"80-36 162 St, Hillcrest, NY 11432","$899,000",4,2,No display data
"401 E 65th St Apt 11A, New York City, NY 10065","$1,197,000",2,2,No display data
"150-31 12 Ave Unit 210, Whitestone, NY 11357","$488,000",1,1,785sqft
"2375 Ocean Ave Apt 2D, Brooklyn, NY 11229","$499,000",2,1,"1,200sqft"
"630 E 230th St, Bronx, NY 10466","$899,888",10,6,No display data
"800 Grand Concourse Apt 5GN, Bronx, NY 10451","$309,900",2,1,No display data
