Address,Price,Beds,Baths,Sizes
"300 Bear Creek Dr, Ferris, TX 75125","$250,000",4,2,"1,846sqft"
"304 E Avenue G, Rosebud, TX 76570","$139,000",3,1,"1,044sqft"
"5112 Palomar Ln, Dallas, TX 75229","$8,199,000",6,8.5+,"12,731sqft"
"6217 Riverview Cir, Fort Worth, TX 76112","$624,900",4,3.5,"3,964sqft"
"23855 Corley Rd, Richards, TX 77873","$265,000",3,2,"1,368sqft"
"296 Bunker Hill Rd, Hooks, TX 75561","$420,000",3,2,"2,400sqft"
"738 Sterling Dr, San Antonio, TX 78220","$150,000",4,1,"1,038sqft"
"1122 N Ann St, Rockport, TX 78382","$245,000",5,2,"3,813sqft"
"196 Oak St, Huntington, TX 75949","$125,000",3,2,"1,100sqft"
"4501 Stony Creek Dr, Corpus Christi, TX 78413","$252,900",3,2,"1,994sqft"
"9260 Manion Dr, Beaumont, TX 77706","$205,000",4,2,"1,656sqft"
"7613 Sugar Maple Ct, Tyler, TX 75703","$905,000",4,4.5,"4,106sqft"
"11838 Bay Cedar Dr, Houston, TX 77048","$229,000",3,2,"1,533sqft"
"28 Brentwood Cir, Lubbock, TX 79407","$219,000",4,3.5,"3,190sqft"
"4021 Sun Meadows St, Plano, TX 75024","$579,900",4,2.5,"3,068sqft"
"232 Saddle Brook Cir, Hallsville, TX 75650","$349,900",4,2,"2,322sqft"
"4851 Aspen Wood Dr, Kirby, TX 78219","$120,000",2,1,"1,089sqft"
"278 New Camp Rd, Chireno, TX 75937","$315,000",3,2.5,"2,000sqft"
"8814 Pine Forest Dr, Rowlett, TX 75088","$317,000",3,2,"1,750sqft"
"101 Pebble Ridge Ct, Ovilla, TX 75154","$510,000",4,3,"3,550sqft"
"1616 Arbuckle Dr, Fort Worth, TX 76247","$350,000",5,3,"3,574sqft"
"1910 San Carlos Ave, Allen, TX 75002","$759,000",4,3.5,"3,568sqft"
"10214 Brad Fld, San Antonio, TX 78245","$186,900",3,2,"1,028sqft"
"190 Young Ranch Rd, Georgetown, TX 78633","$835,000",3,3,"2,379sqft"
"10004 Desperado Dr, Waco, TX 76708","$220,000",3,2,"1,320sqft"
"165 Friar Tuck Way, Kerrville, TX 78028","$645,000",3,2.5,"2,376sqft"
"2307 Alta Vista Ave, Austin, TX 78704","$1,800,000",4,4,"2,742sqft"
"2234 Woodland Springs St, Houston, TX 77077","$385,000",4,2.5,"2,400sqft"
"4924 Wheeler Dr, The Colony, TX 75056","$314,900",3,2,"1,520sqft"
"27715 Autumn Ter, Boerne, TX 78006","$995,000",5,4.5,"6,443sqft"
"5239 Monticello Ave, Dallas, TX 75206","$875,000",3,3,"2,509sqft"
"2600 W 7th St Apt 1415, Fort Worth, TX 76107","$395,000",2,2,"1,263sqft"
"14703 Southwind Ct, Beach City, TX 77523","$599,000",4,3,"2,803sqft"
"221 Hidden Hills Ct, Fort Worth, TX 76108","$650,000",4,3,"3,024sqft"
"9307 Hidden Ct, Magnolia, TX 77354","$359,900",4,2.5,"2,662sqft"
"9242 Fernwillow Dr, Spring, TX 77379","$339,000",4,2,"2,301sqft"
"5006 LA Piedra Ln, Killeen, TX 76549","$375,000",4,2.5,"2,329sqft"
"934 Yucca Ct, Burleson, TX 76028","$470,000",5,3,"3,402sqft"
"667 Tranquility Mtn, Buda, TX 78610","$410,000",3,2,"2,070sqft"
"5629 Santa Elena Ct, Fort Worth, TX 76126","$398,900",3,2,"1,971sqft"
"5516 Santa Elena Ct, Fort Worth, TX 76126","$404,400",3,2,"1,971sqft"
"5520 Santa Elena Ct, Fort Worth, TX 76126","$424,900",4,3,"2,238sqft"
"1017 W Arlington Ave, Fort Worth, TX 76110","$385,000",3,2,"1,638sqft"
